accession	locus_tag	length_aa
EHA45897.1	MGG_12530	1271
EHA54823.1	MGG_11174	1307
EHA56793.1	MGG_06696	2580
EHA55611.1	MGG_12377	1523
EHA56736.1	MGG_11882	1994
EHA55738.1	MGG_07312	1201
EHA54460.1	MGG_01342	1412
EHA54322.1	MGG_01227	1403
EHA53305.1	MGG_13891	1340
EHA46367.1	MGG_02665	1478
